data,count,response 
2017-06-26,3,internals 
2017-06-19,1,internals 
2017-06-15,1,internals 
2017-06-13,1,internals 
2017-06-12,1,internals 
2017-06-09,1,internals 
2017-06-07,1,internals 
2017-06-06,1,internals 
2017-06-05,1,internals 
2017-06-01,5,internals 
2017-05-31,1,internals 
2017-05-27,1,internals 
2017-05-25,3,internals 
2017-05-24,1,internals 
2017-05-22,2,internals 
2017-05-19,1,internals 
2017-05-18,1,internals 
2017-05-17,4,internals 
2017-05-16,1,internals 
2017-05-15,3,internals 
2017-05-12,1,internals 
2017-05-11,1,internals 
2017-05-10,2,internals 
2017-05-09,1,internals 
2017-05-08,1,internals 
2017-05-06,1,internals 
2017-05-04,1,internals 
2017-05-02,1,internals 
2017-04-30,1,internals 
2017-04-26,1,internals 
2017-04-25,1,internals 
2017-04-24,1,internals 
2017-04-21,1,internals 
2017-04-20,2,internals 
2017-04-19,1,internals 
2017-04-18,1,internals 
2017-04-17,1,internals 
2017-04-13,1,internals 
2017-04-12,2,internals 
2017-04-11,3,internals 
2017-04-10,2,internals 
2017-04-06,1,internals 
2017-04-05,1,internals 
2017-04-04,5,internals 
2017-04-03,1,internals 
2017-03-30,1,internals 
2017-03-28,1,internals 
2017-03-21,1,internals 
2017-03-17,3,internals 
2017-03-14,1,internals 
2017-03-10,1,internals 
2017-03-09,1,internals 
2017-03-07,1,internals 
2017-03-06,2,internals 
2017-03-04,1,internals 
2017-03-02,3,internals 
2017-02-28,1,internals 
2017-02-27,1,internals 
2017-02-26,1,internals 
2017-02-17,2,internals 
2017-02-15,2,internals 
2017-02-14,3,internals 
2017-02-13,2,internals 
2017-02-11,1,internals 
2017-02-09,1,internals 
2017-02-07,1,internals 
2017-02-06,4,internals 
2017-01-25,1,internals 
2017-01-24,1,internals 
2017-01-20,3,internals 
2017-01-19,2,internals 
2017-01-18,3,internals 
2017-01-14,1,internals 
2017-01-13,2,internals 
2017-01-12,5,internals 
2017-01-10,2,internals 
2017-01-09,2,internals 
2017-01-05,1,internals 
2017-01-04,3,internals 
2016-12-31,2,internals 
2016-12-29,1,internals 
2016-12-28,1,internals 
2016-12-26,1,internals 
2016-12-22,2,internals 
2016-12-20,2,internals 
2016-12-17,1,internals 
2016-12-14,2,internals 
2016-12-13,1,internals 
2016-12-12,3,internals 
2016-12-09,1,internals 
2016-12-06,1,internals 
2016-12-05,1,internals 
2016-12-02,2,internals 
2016-12-01,1,internals 
2016-11-28,2,internals 
2016-11-24,1,internals 
2016-11-23,1,internals 
2016-11-22,2,internals 
2016-11-21,3,internals 
2016-11-18,1,internals 
2016-11-17,1,internals 
2016-11-16,3,internals 
2016-11-15,1,internals 
2016-11-11,3,internals 
2016-11-07,2,internals 
2016-11-06,1,internals 
2016-11-03,2,internals 
2016-11-01,2,internals 
2016-10-29,1,internals 
2016-10-26,3,internals 
2016-10-21,1,internals 
2016-10-17,1,internals 
2016-10-14,3,internals 
2016-10-11,2,internals 
2016-10-10,2,internals 
2016-10-07,2,internals 
2016-10-06,2,internals 
2016-10-05,1,internals 
2016-09-29,4,internals 
2016-09-22,5,internals 
2016-09-21,1,internals 
2016-09-20,2,internals 
2016-09-15,1,internals 
2016-09-14,1,internals 
2016-09-12,2,internals 
2016-09-09,3,internals 
2016-09-08,1,internals 
2016-09-07,2,internals 
2016-09-06,1,internals 
2016-09-02,1,internals 
2016-09-01,2,internals 
2016-08-30,4,internals 
2016-08-29,2,internals 
2016-08-28,1,internals 
2016-08-26,2,internals 
2016-08-25,3,internals 
2016-08-19,1,internals 
2016-08-18,1,internals 
2016-08-17,2,internals 
2016-08-16,1,internals 
2016-08-12,2,internals 
2016-08-11,3,internals 
2016-08-10,1,internals 
2016-08-09,4,internals 
2016-08-08,1,internals 
2016-08-06,1,internals 
2016-08-05,1,internals 
2016-08-04,1,internals 
2016-08-03,2,internals 
2016-08-02,5,internals 
2016-08-01,1,internals 
2016-07-29,1,internals 
2016-07-27,2,internals 
2016-07-26,1,internals 
2016-07-25,3,internals 
2016-07-22,1,internals 
2016-07-21,2,internals 
2016-07-15,1,internals 
2016-07-14,1,internals 
2016-07-13,1,internals 
2016-07-12,2,internals 
2016-07-08,2,internals 
2016-07-07,1,internals 
2016-06-30,1,internals 
2016-06-29,1,internals 
2016-06-28,2,internals 
2016-06-27,1,internals 
2016-06-23,1,internals 
2016-06-20,1,internals 
2016-06-17,1,internals 
2016-06-16,2,internals 
2016-06-15,1,internals 
2016-06-14,1,internals 
2016-06-11,1,internals 
2016-06-08,1,internals 
2016-06-07,1,internals 
2016-06-04,1,internals 
2016-06-01,1,internals 
2016-05-30,1,internals 
2016-05-26,1,internals 
2016-05-24,4,internals 
2016-05-23,1,internals 
2016-05-21,1,internals 
2016-05-20,1,internals 
2016-05-19,1,internals 
2016-05-16,4,internals 
2016-05-13,1,internals 
2016-05-05,1,internals 
2016-05-02,1,internals 
2016-04-29,1,internals 
2016-04-28,2,internals 
2016-04-27,2,internals 
2016-04-26,3,internals 
2016-04-25,4,internals 
2016-04-22,1,internals 
2016-04-21,2,internals 
2016-04-20,2,internals 
2016-04-16,2,internals 
2016-04-15,3,internals 
2016-04-14,2,internals 
2016-04-13,1,internals 
2016-04-12,1,internals 
2016-04-11,2,internals 
2016-04-09,1,internals 
2016-04-08,2,internals 
2016-04-07,2,internals 
2016-04-02,1,internals 
2016-04-01,2,internals 
2016-03-31,2,internals 
2016-03-30,4,internals 
2016-03-29,1,internals 
2016-03-28,3,internals 
2016-03-25,3,internals 
2016-03-23,2,internals 
2016-03-22,1,internals 
2016-03-17,1,internals 
2016-03-14,2,internals 
2016-03-13,1,internals 
2016-03-11,1,internals 
2016-03-09,1,internals 
2016-03-08,2,internals 
2016-03-07,1,internals 
2016-03-04,7,internals 
2016-03-03,2,internals 
2016-03-01,3,internals 
2016-02-29,3,internals 
2016-02-26,1,internals 
2016-02-25,3,internals 
2016-02-24,1,internals 
2016-02-23,1,internals 
2016-02-22,3,internals 
2016-02-18,5,internals 
2016-02-17,7,internals 
2016-02-16,4,internals 
2016-02-15,2,internals 
2016-02-14,1,internals 
2016-02-13,1,internals 
2016-02-12,5,internals 
2016-02-11,1,internals 
2016-02-10,2,internals 
2016-02-09,3,internals 
2016-02-05,3,internals 
2016-02-04,1,internals 
2016-02-03,1,internals 
2016-02-02,2,internals 
2016-02-01,3,internals 
2016-01-27,1,internals 
2016-01-25,1,internals 
2016-01-22,1,internals 
2016-01-20,1,internals 
2016-01-19,1,internals 
2016-01-17,1,internals 
2016-01-15,1,internals 
2016-01-14,1,internals 
2016-01-12,1,internals 
2016-01-11,3,internals 
2016-01-08,1,internals 
2016-01-07,3,internals 
2016-01-05,1,internals 
2016-01-04,1,internals 
2016-01-01,2,internals 
2015-12-30,2,internals 
2015-12-24,1,internals 
2015-12-19,1,internals 
2015-12-16,2,internals 
2015-12-15,2,internals 
2015-12-12,1,internals 
2015-12-11,3,internals 
2015-12-10,2,internals 
2015-12-08,1,internals 
2015-12-07,2,internals 
2015-12-05,1,internals 
2015-12-03,2,internals 
2015-11-30,1,internals 
2015-11-26,1,internals 
2015-11-24,3,internals 
2015-11-23,1,internals 
2015-11-21,2,internals 
2015-11-20,2,internals 
2015-11-18,6,internals 
2015-11-16,1,internals 
2015-11-13,1,internals 
2015-11-12,1,internals 
2015-11-11,2,internals 
2015-11-10,3,internals 
2015-11-09,1,internals 
2015-11-07,2,internals 
2015-11-06,3,internals 
2015-11-05,1,internals 
2015-11-04,2,internals 
2015-11-03,2,internals 
2015-11-01,1,internals 
2015-10-29,1,internals 
2015-10-28,1,internals 
2015-10-24,1,internals 
2015-10-22,1,internals 
2015-10-21,5,internals 
2015-10-20,2,internals 
2015-10-19,1,internals 
2015-10-17,1,internals 
2015-10-16,2,internals 
2015-10-15,1,internals 
2015-10-14,1,internals 
2015-10-13,1,internals 
2015-10-12,1,internals 
2015-10-09,1,internals 
2015-10-07,1,internals 
2015-10-05,1,internals 
2015-09-29,2,internals 
2015-09-28,1,internals 
2015-09-25,1,internals 
2015-09-24,3,internals 
2015-09-23,2,internals 
2015-09-22,2,internals 
2015-09-21,1,internals 
2015-09-19,1,internals 
2015-09-18,3,internals 
2015-09-17,2,internals 
2015-09-16,3,internals 
2015-09-14,3,internals 
2015-09-09,2,internals 
2015-09-08,1,internals 
2015-09-07,1,internals 
2015-09-05,1,internals 
2015-09-04,1,internals 
2015-09-03,5,internals 
2015-09-02,1,internals 
2015-09-01,4,internals 
2015-08-31,2,internals 
2015-08-28,3,internals 
2015-08-27,3,internals 
2015-08-26,3,internals 
2015-08-25,1,internals 
2015-08-24,1,internals 
2015-08-22,1,internals 
2015-08-21,2,internals 
2015-08-19,3,internals 
2015-08-18,1,internals 
2015-08-13,3,internals 
2015-08-12,1,internals 
2015-08-11,2,internals 
2015-08-10,2,internals 
2015-08-06,3,internals 
2015-08-04,2,internals 
2015-08-01,1,internals 
2015-07-31,1,internals 
2015-07-29,5,internals 
2015-07-28,4,internals 
2015-07-27,3,internals 
2015-07-23,2,internals 
2015-07-21,1,internals 
2015-07-18,1,internals 
2015-07-17,2,internals 
2015-07-13,1,internals 
2015-07-09,1,internals 
2015-07-08,6,internals 
2015-07-07,6,internals 
2015-07-06,2,internals 
