data,count,response 
2017-06-30,1,internals 
2017-06-24,1,internals 
2017-06-20,1,internals 
2017-06-13,1,internals 
2017-06-03,1,internals 
2017-06-01,1,internals 
2017-05-11,1,internals 
2016-04-07,1,internals 
2016-03-12,1,internals 
2016-02-02,2,internals 
2015-09-23,1,internals 
2017-06-30,1,externals 
2017-06-28,1,externals 
2017-06-26,1,externals 
2017-06-22,1,externals 
2017-06-20,1,externals 
2017-06-16,1,externals 
2017-06-15,1,externals 
2017-06-08,1,externals 
2017-06-07,1,externals 
2017-06-02,1,externals 
2017-05-30,1,externals 
2017-05-28,1,externals 
2017-05-26,1,externals 
2017-05-19,1,externals 
2017-05-17,3,externals 
2017-05-10,1,externals 
2017-05-04,1,externals 
2017-05-03,1,externals 
2017-04-30,1,externals 
2017-04-28,1,externals 
2017-04-25,1,externals 
2017-04-19,1,externals 
2017-04-18,1,externals 
2017-04-16,1,externals 
2017-03-29,1,externals 
2017-03-14,1,externals 
2017-03-12,1,externals 
2017-03-11,1,externals 
2017-03-06,1,externals 
2017-03-03,2,externals 
2017-03-02,1,externals 
2017-02-24,1,externals 
2017-02-15,1,externals 
2017-02-14,2,externals 
2017-02-06,1,externals 
2017-02-05,1,externals 
2017-02-02,1,externals 
2017-01-25,1,externals 
2017-01-12,1,externals 
2017-01-05,1,externals 
2016-12-19,1,externals 
2016-12-09,1,externals 
2016-12-06,1,externals 
2016-12-04,1,externals 
2016-11-21,1,externals 
2016-11-01,1,externals 
2016-10-19,1,externals 
2016-10-14,1,externals 
2016-10-12,1,externals 
2016-10-01,1,externals 
2016-09-30,2,externals 
2016-09-28,1,externals 
2016-09-27,1,externals 
2016-09-26,2,externals 
2016-09-21,1,externals 
2016-09-17,1,externals 
2016-08-25,1,externals 
2016-08-16,1,externals 
2016-08-10,1,externals 
2016-07-22,1,externals 
2016-07-18,2,externals 
2016-07-15,1,externals 
2016-07-09,1,externals 
2016-06-24,1,externals 
2016-06-11,1,externals 
2016-05-30,1,externals 
2016-05-20,1,externals 
2016-05-19,1,externals 
2016-05-18,1,externals 
2016-05-16,1,externals 
2016-05-04,1,externals 
2016-05-03,2,externals 
2016-04-28,1,externals 
2016-04-22,1,externals 
2016-04-04,2,externals 
2016-04-02,1,externals 
2016-03-24,1,externals 
2016-03-17,1,externals 
2016-03-10,1,externals 
2016-03-05,1,externals 
2016-02-25,1,externals 
2016-01-21,1,externals 
2016-01-16,1,externals 
2016-01-13,1,externals 
2016-01-12,1,externals 
2015-12-21,1,externals 
2015-12-12,1,externals 
2015-11-25,1,externals 
2015-11-20,1,externals 
2015-11-18,1,externals 
2015-10-11,1,externals 
2015-10-02,1,externals 
2015-09-24,1,externals 
2015-08-29,1,externals 
2015-08-26,1,externals 
2015-08-06,1,externals 
2015-05-09,1,externals 
2015-05-07,1,externals 
2015-04-17,1,externals 
2015-03-23,1,externals 
