data,count,response 
1309,0,internals 
764,29,internals 
40,3,internals 
491,1,internals 
21,5,internals 
699,1,internals 
810,0,internals 
814,0,internals 
1312,0,internals 
261,0,internals 
1020,3,internals 
1069,9,internals 
533,0,internals 
532,2,internals 
298,3,internals 
299,0,internals 
825,0,internals 
824,3,internals 
290,3,internals 
291,0,internals 
1323,0,internals 
1320,1,internals 
592,1,internals 
1083,1,internals 
1081,7,internals 
1120,0,internals 
1121,0,internals 
1328,1,internals 
701,0,internals 
702,0,internals 
797,0,internals 
796,0,internals 
793,0,internals 
837,0,internals 
835,0,internals 
429,33,internals 
1335,8,internals 
1019,10,internals 
915,0,internals 
914,3,internals 
585,0,internals 
1133,1,internals 
1334,3,internals 
1337,0,internals 
1336,2,internals 
243,0,internals 
906,0,internals 
840,1,internals 
908,1,internals 
30,3,internals 
35,1,internals 
539,3,internals 
1005,1,internals 
515,1,internals 
627,1,internals 
625,0,internals 
624,0,internals 
1340,0,internals 
334,1,internals 
1343,0,internals 
1344,1,internals 
1321,3,internals 
1326,0,internals 
887,0,internals 
856,0,internals 
974,1,internals 
885,0,internals 
970,9,internals 
982,2,internals 
1038,1,internals 
732,2,internals 
736,0,internals 
1033,0,internals 
1035,1,internals 
1353,2,internals 
224,0,internals 
220,25,internals 
964,0,internals 
966,2,internals 
1021,19,internals 
961,1,internals 
962,1,internals 
285,0,internals 
1185,0,internals 
969,0,internals 
867,5,internals 
720,4,internals 
1109,2,internals 
883,6,internals 
882,0,internals 
881,3,internals 
601,1,internals 
886,0,internals 
746,6,internals 
747,0,internals 
748,4,internals 
749,0,internals 
905,0,internals 
959,1,internals 
1052,4,internals 
879,0,internals 
876,1,internals 
877,2,internals 
870,0,internals 
956,2,internals 
1111,2,internals 
1114,0,internals 
776,0,internals 
836,1,internals 
432,1,internals 
809,0,internals 
808,2,internals 
689,2,internals 
802,0,internals 
800,2,internals 
344,22,externals 
819,3,externals 
341,3,externals 
816,0,externals 
817,0,externals 
712,0,externals 
1068,5,externals 
296,0,externals 
294,0,externals 
590,0,externals 
199,0,externals 
198,3,externals 
195,0,externals 
1122,1,externals 
1123,4,externals 
191,0,externals 
190,0,externals 
192,0,externals 
270,1,externals 
272,0,externals 
273,0,externals 
274,0,externals 
276,3,externals 
278,0,externals 
524,0,externals 
520,0,externals 
1016,12,externals 
1017,1,externals 
1011,1,externals 
1012,6,externals 
449,0,externals 
447,3,externals 
446,11,externals 
445,1,externals 
1332,1,externals 
103,0,externals 
104,0,externals 
903,5,externals 
39,0,externals 
32,0,externals 
37,0,externals 
36,0,externals 
34,6,externals 
641,0,externals 
640,1,externals 
642,0,externals 
436,0,externals 
435,0,externals 
1329,1,externals 
335,0,externals 
336,1,externals 
330,0,externals 
745,0,externals 
818,2,externals 
857,5,externals 
6,2,externals 
99,0,externals 
98,3,externals 
94,2,externals 
743,0,externals 
559,3,externals 
558,1,externals 
555,1,externals 
554,0,externals 
557,5,externals 
553,0,externals 
237,4,externals 
1099,2,externals 
146,0,externals 
618,2,externals 
145,0,externals 
142,0,externals 
143,0,externals 
140,0,externals 
141,0,externals 
1272,1,externals 
617,0,externals 
148,6,externals 
512,7,externals 
947,0,externals 
944,0,externals 
945,1,externals 
942,0,externals 
1348,2,externals 
1349,0,externals 
136,0,externals 
134,0,externals 
496,1,externals 
138,2,externals 
490,4,externals 
25,5,externals 
26,0,externals 
29,1,externals 
406,0,externals 
938,1,externals 
403,0,externals 
402,1,externals 
931,1,externals 
452,0,externals 
935,3,externals 
408,0,externals 
1345,0,externals 
1347,16,externals 
370,1,externals 
820,2,externals 
376,1,externals 
708,7,externals 
144,2,externals 
703,0,externals 
393,2,externals 
390,0,externals 
394,2,externals 
83,5,externals 
80,0,externals 
795,2,externals 
794,4,externals 
791,1,externals 
582,0,externals 
583,0,externals 
1130,2,externals 
1135,1,externals 
247,0,externals 
241,0,externals 
242,0,externals 
1007,2,externals 
1006,1,externals 
1004,3,externals 
1003,7,externals 
458,0,externals 
459,2,externals 
620,0,externals 
450,0,externals 
451,0,externals 
629,0,externals 
628,4,externals 
454,0,externals 
