data,count,response 
1309,4,internals 
764,8,internals 
40,1,internals 
491,2,internals 
21,5,internals 
699,2,internals 
810,1,internals 
814,4,internals 
1312,1,internals 
261,1,internals 
1020,1,internals 
1069,2,internals 
533,1,internals 
532,1,internals 
298,1,internals 
299,1,internals 
825,1,internals 
824,3,internals 
290,1,internals 
291,1,internals 
1323,2,internals 
1320,2,internals 
592,1,internals 
1083,3,internals 
1081,3,internals 
1120,2,internals 
1121,2,internals 
1328,1,internals 
701,2,internals 
702,1,internals 
797,2,internals 
796,1,internals 
793,2,internals 
837,1,internals 
835,2,internals 
429,86,internals 
1335,4,internals 
1019,14,internals 
915,1,internals 
914,2,internals 
585,2,internals 
1133,1,internals 
1334,3,internals 
1337,1,internals 
1336,2,internals 
243,1,internals 
906,1,internals 
840,2,internals 
908,1,internals 
30,4,internals 
35,3,internals 
539,21,internals 
1005,1,internals 
515,4,internals 
627,2,internals 
625,1,internals 
624,5,internals 
1340,21,internals 
334,2,internals 
1343,4,internals 
1344,1,internals 
1321,2,internals 
1326,1,internals 
887,1,internals 
856,1,internals 
974,1,internals 
885,2,internals 
970,6,internals 
982,1,internals 
1038,2,internals 
732,2,internals 
736,1,internals 
1033,1,internals 
1035,2,internals 
1353,1,internals 
224,1,internals 
220,5,internals 
964,2,internals 
966,1,internals 
1021,12,internals 
961,1,internals 
962,1,internals 
285,1,internals 
1185,1,internals 
969,2,internals 
867,2,internals 
720,7,internals 
1109,1,internals 
883,11,internals 
882,3,internals 
881,7,internals 
601,1,internals 
886,1,internals 
746,3,internals 
747,3,internals 
748,10,internals 
749,1,internals 
905,1,internals 
959,1,internals 
1052,1,internals 
879,1,internals 
876,1,internals 
877,14,internals 
870,3,internals 
956,14,internals 
1111,1,internals 
1114,1,internals 
776,1,internals 
836,6,internals 
432,5,internals 
809,1,internals 
808,1,internals 
689,1,internals 
802,1,internals 
800,26,internals 
344,8,externals 
819,1,externals 
341,1,externals 
816,1,externals 
817,1,externals 
712,1,externals 
1068,5,externals 
296,1,externals 
294,8,externals 
590,1,externals 
199,1,externals 
198,1,externals 
195,1,externals 
1122,1,externals 
1123,1,externals 
191,1,externals 
190,5,externals 
192,2,externals 
270,4,externals 
272,1,externals 
273,3,externals 
274,1,externals 
276,1,externals 
278,1,externals 
524,1,externals 
520,2,externals 
1016,1,externals 
1017,2,externals 
1011,1,externals 
1012,2,externals 
449,1,externals 
447,5,externals 
446,3,externals 
445,2,externals 
1332,3,externals 
103,1,externals 
104,5,externals 
903,3,externals 
39,1,externals 
32,1,externals 
37,1,externals 
36,1,externals 
34,3,externals 
641,1,externals 
640,1,externals 
642,1,externals 
436,4,externals 
435,1,externals 
1329,3,externals 
335,1,externals 
336,1,externals 
330,1,externals 
745,1,externals 
818,1,externals 
857,2,externals 
6,4,externals 
99,1,externals 
98,4,externals 
94,2,externals 
743,1,externals 
559,1,externals 
558,1,externals 
555,1,externals 
554,1,externals 
557,4,externals 
553,2,externals 
237,2,externals 
1099,1,externals 
146,1,externals 
618,1,externals 
145,1,externals 
142,1,externals 
143,1,externals 
140,1,externals 
141,1,externals 
1272,1,externals 
617,1,externals 
148,1,externals 
512,2,externals 
947,1,externals 
944,1,externals 
945,1,externals 
942,1,externals 
1348,1,externals 
1349,1,externals 
136,4,externals 
134,1,externals 
496,2,externals 
138,1,externals 
490,1,externals 
25,2,externals 
26,1,externals 
29,2,externals 
406,1,externals 
938,1,externals 
403,1,externals 
402,1,externals 
931,1,externals 
452,1,externals 
935,1,externals 
408,2,externals 
1345,1,externals 
1347,7,externals 
370,1,externals 
820,1,externals 
376,1,externals 
708,1,externals 
144,8,externals 
703,1,externals 
393,3,externals 
390,1,externals 
394,1,externals 
83,3,externals 
80,3,externals 
795,1,externals 
794,1,externals 
791,2,externals 
582,1,externals 
583,1,externals 
1130,1,externals 
1135,1,externals 
247,1,externals 
241,1,externals 
242,1,externals 
1007,2,externals 
1006,2,externals 
1004,2,externals 
1003,2,externals 
458,1,externals 
459,1,externals 
620,1,externals 
450,1,externals 
451,1,externals 
629,1,externals 
628,3,externals 
454,1,externals 
455,1,externals 
457,1,externals 
179,1,externals 
178,1,externals 
177,1,externals 
176,1,externals 
175,5,externals 
174,7,externals 
173,1,externals 
170,1,externals 
975,2,externals 
973,1,externals 
971,4,externals 
183,1,externals 
978,19,externals 
182,1,externals 
599,1,externals 
654,1,externals 
184,1,externals 
188,1,externals 
1286,1,externals 
869,1,externals 
13,5,externals 
12,4,externals 
19,2,externals 
865,1,externals 
864,1,externals 
884,6,externals 
1289,2,externals 
889,1,externals 
888,2,externals 
756,1,externals 
322,1,externals 
327,1,externals 
328,1,externals 
497,1,externals 
204,2,externals 
206,1,externals 
208,1,externals 
75,7,externals 
74,2,externals 
70,1,externals 
79,1,externals 
1042,1,externals 
1041,3,externals 
1049,1,externals 
1147,1,externals 
667,1,externals 
1148,1,externals 
1149,1,externals 
663,1,externals 
661,1,externals 
660,2,externals 
696,1,externals 
697,1,externals 
695,1,externals 
543,1,externals 
540,1,externals 
546,2,externals 
547,1,externals 
545,1,externals 
548,1,externals 
1317,1,externals 
991,1,externals 
993,1,externals 
999,1,externals 
124,2,externals 
126,5,externals 
127,2,externals 
128,1,externals 
129,2,externals 
414,1,externals 
929,1,externals 
419,1,externals 
926,1,externals 
927,1,externals 
313,2,externals 
310,1,externals 
317,1,externals 
832,1,externals 
831,1,externals 
839,3,externals 
361,1,externals 
380,1,externals 
381,1,externals 
383,1,externals 
385,31,externals 
387,6,externals 
388,3,externals 
784,1,externals 
788,1,externals 
579,1,externals 
578,1,externals 
572,1,externals 
570,120,externals 
576,2,externals 
575,7,externals 
60,3,externals 
64,2,externals 
253,1,externals 
257,2,externals 
600,1,externals 
1039,1,externals 
508,1,externals 
509,1,externals 
1032,4,externals 
1030,1,externals 
505,1,externals 
503,1,externals 
500,1,externals 
631,1,externals 
632,1,externals 
633,1,externals 
634,1,externals 
635,1,externals 
636,1,externals 
637,2,externals 
1352,1,externals 
466,2,externals 
1357,2,externals 
460,1,externals 
462,1,externals 
168,1,externals 
164,1,externals 
165,1,externals 
167,1,externals 
162,4,externals 
967,1,externals 
1106,3,externals 
1103,1,externals 
1101,1,externals 
1240,1,externals 
898,2,externals 
899,1,externals 
1150,1,externals 
951,1,externals 
355,1,externals 
803,54,externals 
801,9,externals 
806,1,externals 
805,1,externals 
217,1,externals 
769,1,externals 
210,2,externals 
211,1,externals 
762,1,externals 
218,3,externals 
219,17,externals 
1077,3,externals 
1074,1,externals 
283,4,externals 
282,2,externals 
1094,2,externals 
1095,2,externals 
1097,1,externals 
678,5,externals 
1092,1,externals 
677,1,externals 
1151,2,externals 
671,1,externals 
55,1,externals 
54,3,externals 
57,1,externals 
56,4,externals 
50,10,externals 
536,1,externals 
535,4,externals 
538,1,externals 
980,1,externals 
981,1,externals 
986,6,externals 
984,8,externals 
117,1,externals 
111,1,externals 
110,5,externals 
113,3,externals 
1255,3,externals 
918,1,externals 
421,1,externals 
422,1,externals 
424,2,externals 
426,1,externals 
309,1,externals 
302,1,externals 
304,1,externals 
842,1,externals 
849,1,externals 
848,1,externals 
569,4,externals 
750,1,externals 
737,1,externals 
754,1,externals 
560,1,externals 
562,5,externals 
563,1,externals 
566,2,externals 
229,2,externals 
228,1,externals 
1189,1,externals 
1028,1,externals 
1037,1,externals 
150,2,externals 
1166,1,externals 
152,1,externals 
1209,1,externals 
154,1,externals 
158,2,externals 
609,2,externals 
1359,2,externals 
1358,1,externals 
1161,4,externals 
1214,1,externals 
49,1,externals 
46,5,externals 
45,2,externals 
955,1,externals 
41,1,externals 
5,3,externals 
1116,1,externals 
1119,2,externals 
1290,2,externals 
1350,4,externals 
1361,8,externals 
489,1,externals 
483,1,externals 
482,1,externals 
481,1,externals 
472,1,externals 
1364,1,externals 
1360,2,externals 
475,2,externals 
479,1,externals 
