data,count,response 
2017-06-17,1,internals 
2017-05-26,1,internals 
2017-05-24,1,internals 
2017-05-23,1,internals 
2017-05-20,2,internals 
2017-05-19,1,internals 
2017-05-18,1,internals 
2017-05-12,2,internals 
2017-05-11,2,internals 
2017-05-10,1,internals 
2017-04-30,1,internals 
2017-04-26,1,internals 
2016-05-06,1,internals 
2016-02-17,1,internals 
2016-01-20,2,internals 
2016-01-09,1,internals 
2016-01-08,2,internals 
2015-11-12,1,internals 
2015-11-11,1,internals 
2015-10-20,1,internals 
2015-09-16,1,internals 
2015-08-26,1,internals 
2015-08-24,1,internals 
2015-08-21,1,internals 
2015-08-06,1,internals 
2015-08-05,2,internals 
2015-07-08,1,internals 
2015-06-15,1,internals 
2015-06-09,1,internals 
2015-06-08,2,internals 
2015-06-05,3,internals 
2015-06-04,1,internals 
2015-06-03,2,internals 
2015-04-03,2,internals 
2015-03-25,1,internals 
2015-03-23,2,internals 
2015-03-13,6,internals 
2015-03-12,1,internals 
2015-03-09,1,internals 
2015-03-07,1,internals 
2015-02-20,1,internals 
2015-02-17,1,internals 
2015-01-30,1,internals 
2014-12-22,3,internals 
2014-12-19,1,internals 
2014-12-05,1,internals 
2014-12-04,1,internals 
2014-11-01,1,internals 
2014-10-29,3,internals 
2014-10-23,2,internals 
2014-10-20,2,internals 
2014-10-16,1,internals 
2014-09-25,1,internals 
2014-09-11,1,internals 
2014-08-22,4,internals 
2014-07-24,1,internals 
2014-07-15,1,internals 
2014-06-19,1,internals 
2014-05-15,3,internals 
2014-04-20,1,internals 
2013-12-31,3,internals 
2013-10-25,1,internals 
2013-10-04,1,internals 
2013-09-17,1,internals 
2013-07-21,1,internals 
2013-07-19,2,internals 
2013-06-12,1,internals 
2013-05-01,1,internals 
2013-03-10,1,internals 
2013-03-09,1,internals 
2012-08-17,1,internals 
2012-05-31,2,internals 
2012-05-17,1,internals 
2012-05-16,1,internals 
2012-05-13,1,internals 
2012-03-24,1,internals 
2012-02-13,1,internals 
2012-01-10,1,internals 
2012-01-02,1,internals 
2011-10-26,2,internals 
2011-10-25,2,internals 
2017-06-29,1,externals 
2017-06-26,1,externals 
2017-06-25,4,externals 
2017-06-13,1,externals 
2017-06-12,2,externals 
2017-06-07,1,externals 
2017-06-02,1,externals 
2017-05-30,1,externals 
2017-05-16,1,externals 
2017-05-13,1,externals 
2017-05-08,1,externals 
2017-01-27,2,externals 
2017-01-20,1,externals 
2016-12-04,1,externals 
2016-10-28,1,externals 
2016-09-23,1,externals 
2016-07-15,1,externals 
2016-06-30,1,externals 
2016-05-14,1,externals 
2016-04-12,1,externals 
2016-03-29,1,externals 
2016-03-20,2,externals 
2016-03-19,1,externals 
2016-03-18,2,externals 
2016-02-23,1,externals 
2016-02-05,1,externals 
